study;ID;ID_study;mean_age_days;age_group;year;published;H_Lab;nationality;scenarios;stimuli;stimuli_2;question;measure;choice_object;xi;ni;s;x1;x2;t
Lucca_et_al_2025;50;30;245;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;7;10;;;;
Lucca_et_al_2025;50;31;254;young;2025;yes;yes;Asia;help_hinder;movies;real;Who do you like;reach;shapes;12;23;;;;
Lucca_et_al_2025;50;32;252;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;8;8;;;;
Lucca_et_al_2025;50;33;243;young;2025;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;4;7;;;;
Lucca_et_al_2025;50;34;287;young;2025;yes;yes;Europe;help_hinder;movies;real;Who do you like;reach;shapes;6;9;;;;
Lucca_et_al_2025;50;35;248;young;2025;yes;yes;Oceania;help_hinder;movies;real;Who do you like;reach;shapes;7;9;;;;
Lucca_et_al_2025;50;36;220;young;2025;yes;yes;Asia;help_hinder;movies;real;Who do you like;reach;shapes;3;5;;;;
Wu_et_2025;51;1;190;young;2025;yes;no;Asia;help_hinder;movies;cartoon;NA;reach;shapes;83;171;;;;
Kasperbauer_unpub;52;1;217;young;2012;no;no;North_America;help_hinder;live_show;real;Other;reach;shapes;19;26;;;;
Abramson_et_al_unpub;53;1;270;young;2016;no;no;Europe;help_hinder;movies;real;Who do you like;reach;puppets;17;31;;;;
Abramson_et_al_unpub;53;2;540;old;2016;no;no;Europe;help_hinder;movies;real;Who do you like;reach;puppets;28;62;;;;
Enright_Sommerville_unpub;54;1;630;old;2016;no;no;North_America;fair_unfair;live_show;real;NA;reach;experimenters;10;18;;;;
Enright_Sommerville_unpub;54;2;630;old;2016;no;no;North_America;fair_unfair;live_show;real;No;help;experimenters;12;15;;;;
Enright_Sommerville_unpub;54;3;630;old;2016;no;no;North_America;fair_unfair;live_show;real;No;help;experimenters;11;16;;;;
Enright_Sommerville_unpub;54;4;720;old;2016;no;no;North_America;fair_unfair;live_show;real;NA;reach;experimenters;14;19;;;;
Enright_Sommerville_unpub;54;5;720;old;2016;no;no;North_America;fair_unfair;live_show;real;No;help;experimenters;7;17;;;;
Enright_Sommerville_unpub;54;6;720;old;2016;no;no;North_America;fair_unfair;live_show;real;No;help;experimenters;14;20;;;;
Hamlin_unpub;55;1;231;young;2016;no;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;11;16;;;;
Hamlin_unpub;55;2;374;young;2016;no;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;7;14;;;;
Lee_Song_unpub;56;1;192;young;2016;no;no;Asia;help_hinder;movies;cartoon;Who do you like;reach;shapes;12;15;;;;
Tasimi_Wynn_unpub;57;1;240;young;2016;no;no;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;12;16;;;;
Tasimi_Wynn_unpub;57;2;450;old;2016;no;no;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;12;16;;;;
Woo_Hamlin_unpub;58;1;240;young;2016;no;yes;North_America;help_hinder;movies;cartoon;Other;reach;shapes;21;32;;;;
Woo_Hamlin_unpub;58;2;301;young;2016;no;yes;North_America;help_hinder;movies;cartoon;Other;reach;shapes;15;32;;;;
Woo_Hamlin_unpub;58;3;364;young;2016;no;yes;North_America;help_hinder;movies;cartoon;Other;reach;shapes;23;32;;;;
